id,signum,location,parish,province,country,municipality,county,landscape,longitude,latitude,coordinate_status,comment
2a578bdf-cfd9-4a41-bf4c-4094d51d671e,KJ 30,Næsbjerg,Stenmagle sogn,Jylland,Denmark,Sorø,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
b4435789-e508-49e6-8e18-dac47dd10637,KJ 34,Illerup,Stenkyrka socken,Jylland,Denmark,Gotland,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
e7c8c994-4988-4197-9b26-fa8f11c8af06,KJ 35,Illerup,,Jylland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
8f125f11-752e-4a3e-ae3c-71303eca2249,KJ 37,Illerup,Meland sogn,Jylland,Denmark,Meland,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
c2b7eff9-aeef-4040-a7ba-2a35ee386e53,KJ 50,Nydam,Dolm sogn,Jylland,Denmark,Hitra,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
c5eee5ec-ae89-4a9c-8794-2d58a05a5c8c,KJ 51,Nydam,Stod sogn,Jylland,Denmark,Steinkjer,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
65e6a4c7-9761-480a-a110-43266a143470,KJ 52,Nydam,Kinneved,Jylland,Denmark,Falköping,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
daf8b3f1-2399-4b16-98ff-355602eb6189,KJ 53,Nydam,Utvik sogn,Jylland,Denmark,Stryn,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
069e8486-550f-4ddd-ae68-c0a4103b7fc9,KJ 54,Nydam,Norrköping,Jylland,Denmark,Norrköping,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
f7946190-1eaf-45d4-97a7-db059a823041,KJ 55,Nydam,Nes sogn,Jylland,Denmark,Bjugn,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
fe503824-4576-4d70-ba03-d5cccc9a41b2,KJ 63,Nydam,Slidre sogn,Jylland,Denmark,Vestre Slidre,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
870c109d-1683-4227-aafe-7e40502de486,KJ 64,Nydam,Selje sogn,Jylland,Denmark,Selje,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
2105aad2-95ad-4828-a7da-0894f671c562,KJ 66,Nydam,Norra Vånga socken,Jylland,Denmark,Vara,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
1777a523-b9d7-4b1c-97f8-cde1e9c37c8c,KJ 67,Nydam,Fyrunga socken,Jylland,Denmark,Vara,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
beee9c60-9ace-4ac8-85fb-b920245da87c,KJ 03,Fælleseje (Slemminge),,Lolland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
c8d00d18-a10e-49fc-915f-5812034c80d4,KJ 04,Garbølle,,Sjælland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
9a9361af-8b0c-47f8-903e-7deb92bf4d77,KJ 32,Værløse,,Sjælland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
182f1dc2-168a-485d-b0d9-eac7d1560ed2,KJ 33,Himlingøje II,,Sjælland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
02d3475b-3818-490a-9c21-397cf8f285c3,KJ 36,Himlingøje I,Bov sogn,Sjælland,Denmark,Aabenraa,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
f0d5d540-9a64-431e-afa1-c2f94bb4731d,KJ 38,Skovgårde,Tysnes sogn,Sjælland,Denmark,Tysnes,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
